title,url
The future of the Danish oil and gas sector,http://www.oilgasdenmark.dk/wp-content/uploads/2017/11/The-Future-of-the-Danish-Oil-and-Gas-Sector_July-2017_UK-til-tryk.pdf
Hovedforløb på erhvervsuddannelserne efter reformen,https://www.kora.dk/media/8511467/10688_hovedforloeb_paa_erhvervsuddannelserne_efter_reformen.pdf
"Udgifter, brugere og enhedsudgifter på det specialiserede voksenområde",https://www.kora.dk/media/8511465/11443_udgifter-brugere-og-enhedsudgifter-paa-det-specialiserede-voksenomraade.pdf
Evaluering af boligprisprognoser,https://www.bvc.dk/media/1220/evaluering_af_boligprisprognoser.pdf
Lungekræft,https://webshop.cancer.dk/pjecer-og-information/hvis-du-har-faet-kraeft-eller-er-paroerende/pjecer/301/download/Shop_Model_Product/301/0037-pjece-om-lungekraeft_genoptryk-2018.pdf
Team Gastro,http://mfvm.dk/fileadmin/user_upload/MFVM/Nyheder/Bilag_2_Team_Gastros_anbefalinger.pdf
Beretning om beskyttelse mod ransomwareangreb,http://www.rigsrevisionen.dk/media/2104780/sr1117.pdf
A focus on culture,http://www.euro.who.int/__data/assets/pdf_file/0019/319501/Focus-culture-developing-systematic-approach-cultural-contexts-health.pdf?ua=1
Kræftpatienters behov og oplevelser med sundhedsvæsenet under udredning og behandling,https://www.cancer.dk/dyn/resources/File/file/1/6911/1515741637/2017_kraeftpatienters-behov-og-oplevelser-med-sundhedsvaesenet-under-udredning-og-behandling.pdf
"Udgifter, brugere og enhedsudgifter på det specialiserede børn og ungeområde",https://www.kora.dk/media/8511466/udgifter-brugere-og-enhedsudgifter-paa-det-specialiserede-boern-og-unge-omraade.pdf
Guide to sustainable building certifications,https://sbi.dk/Assets/Guide-to-sustainable-building-certifications/Guide-to-sustainable-building-certifications-August-2018-e-bog.pdf
En helhjertet indsats,https://www.kora.dk/media/8370396/11162-en-helhjertet-indsats_web.pdf
Pilotafprøvning af Det mobile laboratorium,https://kora.dk/media/8370395/10804-det-mobile-laboratorium.pdf
Efterskolernes erfaringer med unge med flygtninge- og indvandrerbaggrund,http://www.alsresearch.dk/uploads/Publikationer/Efterskolernes_erfaringer_m_unge_med_unge_med_flygtninge-_og_indvandrerbaggrund.pdf
Seksualitet og sundhed,http://www.vidensraad.dk/sites/default/files/vidensraad_seksualitet-sundhed_2015.pdf
Danish Water Technology House,https://www.fvc.dk/Admin/Public/DWSDownload.aspx?File=%2fFiles%2fFiles%2fFerskvandscentret-Dk%2fDWTH%2fDWTH+-+ENDELIG+RAPPORT+TIL+ONLINE-BRUG+DECEMBER+2018.pdf
Patienters oplevelse af Collaborative Care,https://kora.dk/media/8666459/10113_hovedrapport-patienters-oplevelse-af-collaborative-care.pdf
Sundhedsøkonomisk undersøgelse af Collaborative Care for angst og depression i Danmark,https://kora.dk/media/8666464/210574-sundhedsoekonomisk-undersoegelse-af-angst.pdf
Boes Skov I,http://ebooks.au.dk/index.php/aul/catalog/download/247/177/772-2?inline=1
Tværgående evaluering af satspuljen,https://www.fm.dk/~/media/files/nyheder/pressemeddelelser/2018/10/tvaergaaende-evaluering-af-satspuljen-_-et-metodevaerktoej_vive.ashx?la=da
Undersøgelse vedrørende forsvarsadvokater,http://www.justitsministeriet.dk/sites/default/files/media/Arbejdsomraader/pdf/ey_rapport_vedr_forsvarsadvokater_-_endelig.pdf
CSR-rapportering i 24 danske virksomheder,https://hdl.handle.net/109.1.3/b6b701b4-1ec4-4ba0-a46d-1577fe7d3b0a
Benchmarkinganalyse af overgange til ungdomsuddannelse,https://oimb.dk/media/20455/oeimb-overgange-til-ungdomsuddannelse-inkl-bilag.pdf
Sundheds- og ældreøkonomisk analyse,https://hdl.handle.net/109.3.1/96380410-3d19-48e3-a424-51e999dde7b5
Erhvervsintegrerede kandidatuddannelser,https://ufm.dk/publikationer/2018/filer/icdk-outlook-om-erhvervsintegrerede-kandidatuddannelse-i-tyskland-endelig.pdf
Forebyggelse af skader og sygdomme i muskler og led,http://www.vidensraad.dk/sites/default/files/vidensrad_for_forebyggelse_forebyggelse_af_skader_og_sygdomme_i_muskler_og_led_2015.pdf
Mulig metode til beregning af arealspecifikke tålegrænser for kategori 3 natur,http://dce2.au.dk/pub/SR290.pdf
Erstatningsnatur - erfaringer og muligheder,https://hdl.handle.net/109.3.1/6a6a5b5a-eb1d-4536-b7bd-8e94feed787d
Råstofindvindingens effekt på bestanden af marsvin i det nordligste Øresund,http://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Notater_2018/Raastofindvindingens_effekt_paa_bestanden_af_marsvin.pdf
Test of an EU toolkit to develop nutrient standards in lakes,http://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Notater_2018/Test_of_a_EU_toolkit_in_lakes.pdf
The particle project 2017-2018,http://dce2.au.dk/pub/SR285.pdf
Life cycle assessment of management options for beverage packaging waste,http://mfvm.dk/footermenu/publikationer/publikation/pub/hent-fil/publication/udvidelse-af-pant-og-retursystemet/
Hvordan kan arbejdsmiljøet sikre flere gode år på arbejdsmarkedet?,http://www.tekno.dk/wp-content/uploads/2018/01/Flere-gode-a%CC%8Ar-webversion.pdf
Fra Sikkerhed-I til Sikkerhed-II,https://centerforkvalitet.dk/wp-content/uploads/2017/08/Fra-Sikkerhed_I_til_II_dk.pdf
Anbefalinger for tværsektorielle forløb for mennesker med hjertesygdom,https://www.sst.dk/da/nyheder/2018/~/media/FD3DCF6366F543D5947CF4ECDA54C6F2.ashx
Modtage- og statuskontrol for digitale ortopantomografer og cephalostater,https://www.sst.dk/da/nyheder/2018/~/media/1277A21855C649A5BB4D41EBFB4CB216.ashx
Evidens for livsstilsinterventioner til børn og voksne med svær overvægt,https://hdl.handle.net/109.1.3/a6e9d6e0-c810-4808-9931-cddea54d47bb
Afrapportering fra arbejdsgruppen om oplevelsesøkonomiske centre,https://em.dk/~/media/files/2018/juli/rapport-om-oplevelses%C3%B8konomiske-centre-juni-2018.ashx?la=da
Energiaftale af 29. juni 2018,https://efkm.dk/media/12222/energiaftale2018.pdf
Virksomhedernes kendskab til konkurrencereglerne,https://www.kfst.dk/media/50752/20180704-virksomhedernes-kendskab-til-konkurrencereglerne.pdf
Analysis of microplastic particles in Danish drinking water,http://dce2.au.dk/pub/SR291.pdf
Rāhnamā barā-yi vālidayn-i panāhjū dar marḥalah-i panahjūī,https://www.rodekors.dk/media/3060286/Guide_FARSI_01_B.pdf
Allu - inuusuttunut atugarliortunut najugaqarfissatut neqeroorummik naliliineq,https://pure.sfi.dk/ws/files/914450/Allu_gl.pdf
Dalīl mukhaṣaṣ lilābāʼ wa al-ūmahāt al-lājʼīn,https://www.rodekors.dk/media/3045514/Guide_arabisk_01_B_korr.pdf
